JUP,PIK3CA
HAVCR1,NPHS1
JAK2,PPARGC1A
MKI67,VEGFA
LGALS3,MAP1LC3A
HMGCS2,SIRT5
ACTC1,PECAM1
BCL2,JUP
AGT,AKT1
MAP1LC3A,PLAA
AKT1,JUP
PIK3CA,STAT3
PARK2,RPS27A
CXCL10,LCN2
BCL2L11,JAK2
JUP,STAT3
ALB,MB
IL17A,MAPK3
BCL2L11,PIK3CA
MKI67,PECAM1
LGALS3,PTP4A2
HMBS,VCPIP1
IL6,IL8
MAPK3,SETD2
IL1B,NOS2A
EPO,REN
PRKAA1,TP53
JAK2,SETD2
BCL2L11,STAT3
JAK2,SIRT1
CNN2,SIRT5
EGF,HMOX1
PIK3CA,PPARGC1A
HAVCR1,VEGFA
LCN2,TIMP2
JUP,PPARGC1A
EPO,NPPA
GYPA,MPO
MAPK15,SLC22A6
CXCL5,MAPK15
GSTA1,HMBS
CCL2,PRKAA2
MMRN1,STAT3
NFE2L2,NSUN2
HMOX1,PRKAA2
IL17D,IL22
HMBS,TFEB
ALB,LCN2
GSTA1,TFEB
MB,MMP2
CD44,MAPK15
MIRN1238,MIRN21
BCL2,NFE2L2
JUP,MKI67
AKT1,NFE2L2
KL,MIRN148B
BCL2L11,PPARGC1A
PRKAA2,SETD2
IL10,IL17A
ELMO1,TIMD4
ACSL4,MT-CO2
CCL2,VEGFA
SMAD2,VEGFA
HMOX1,VEGFA
IL1B,PRKAA2
AGT,HMOX1
PIK3CA,SIRT1
JUP,SIRT1
LGALS3,VCP
HMOX1,IL1B
AKT1,BAX
CASP9,FOXO3
NFE2L2,SMAD2
RPS27A,VCP
IL6,JUP
ACTC1,CASP3
CASP3,NFE2L2
JUP,MMRN1
AKT1,STAT3
CASP1,MAFK
BCL2L11,SIRT1
BCL2L11,HMOX1
BCL2,GABPA
FOXO3,PRKAA1
HMBS,UBXD1
PPARGC1A,SMAD2
GSTA1,UBXD1
IL1B,SETD2
BCL2L11,MMRN1
BCL2,CASP8
HMBS,MAP1LC3A
BCL2L11,IL17A
EGFR,PIK3CA
BCL2L11,MAPK3
CD8A,KCNQ5
MAPK6,STAT3
AAAS,PTP4A2
IL17D,IL22RA1
KIF2A,UBL4A
AKT1,PPARGC1A
CASP9,SIRT1
HMGB1,MMP2
LCN2,TNF
CASP3,GABPA
IL1B,MPO
BAX,CASP9
EGFR,MAPK6
EGFR,STAT3
GSTA1,PTP4A2
PAX2,SIRT3
IL6,NFE2L2
AIP,HAVCR1
HAVCR1,JUP
CST3,HAVCR1
MAP1LC3A,PTP4A2
RPS27A,VCPIP1
JAK2,SMAD2
HMBS,LGALS3
CASP3,PRKAA2
GSTA1,LGALS3
IL6,PIK3CA
BCL2,SETD2
AKT1,SETD2
AKT1,SIRT1
AKR1A1,AKR1B1
CXCL5,SLC22A6
DNMT1,MIRN148B
AKT1,MMRN1
CCL2,JUP
LAMP1,YOD1
BCL2L11,CCL2
HMOX1,JUP
CD4,KLRB1
BCL2,IL6
CYP3A4,CYP3A5
IL17A,NFE2L2
CASP3,SETD2
MAPK3,PIK3CA
CASP8,PRKAA1
PTP4A2,YOD1
TGFB1,VEGFA
SETD2,STAT3
EGF,MAPK1
HMBS,VCP
BAX,PGAM5
CD8A,FCER1G
PIK3CA,SMAD2
AIP,IL13
IAPP,MAPK1
GSTA1,VCP
JUP,SMAD2
HMOX1,MAPK1
IL1B,JUP
BAX,PIK3CA
CD274,CTLA4
MAPK3,STAT3
HMGB1,MT-CO2
AAVS1,OTUD5
HMOX1,KEAP1
CASP3,IL6
HMBS,LAMP1
AIP,CCL4
AMBP,SLC7A11
KIF2A,MARCH8
GSR,SOD1
BAI1,ELMO1
ALB,MMP2
SRC,TLR4
CXCL10,IL6
UBXD1,VCP
BCL2L11,SMAD2
STAT3,VEGFA
TFEB,YOD1
ALB,CKB
CCL2,NFE2L2
CASP9,TP53
SIRT1,VEGFA
AGT,MAPK1
HMOX1,NFE2L2
MMP2,NPHS1
NR5A2,SIRT1
MAPK3,PPARGC1A
IL13,PDGFB
PLAA,RPS27A
BCL2L11,CASP3
PECAM1,S100A4
IL6,SETD2
IL10,IL22RA1
BAX,CASP8
ELAVL2,MIRN122
CCL2,PIK3CA
IAPP,PIK3CA
PRKAA2,STAT3
JUP,TIMP1
HMOX1,PIK3CA
IL10,IL17D
BCL2,CASP9
BAX,FOXO3
HMOX1,NOS2A
AAAS,VCPIP1
IL17A,PRKAA2
LAMP1,PLAA
AKT1,HMOX1
IL22,IL22RA1
CCL2,STAT3
SMAD2,STAT3
SETD2,SIRT1
PLAA,YOD1
GSTA1,VCPIP1
AGT,IAPP
FABP1,HAVCR1
IL1B,JAK2
DNMT1,MARCH8
IL1B,PIK3CA
MAPK3,SIRT1
IL17A,VEGFA
REN,SLC5A2
IL10,IL1A
MAP1LC3A,VCPIP1
CASP3,JUP
IL17A,IL1B
MBTPS1,SIRT3
HAVCR1,MKI67
AKT1,SMAD2
AAAS,HMBS
MAPK3,MMRN1
PDGFB,TGFA
IL17A,SETD2
VCP,YOD1
SRC,TLR2
UBXD1,VCPIP1
GYPA,PRTN3
AAAS,GSTA1
IL1B,STAT3
IGFBP7,LCN2
BAX,SIRT1
JAK2,MMRN1
AAAS,TFEB
GAST,INS
CCL2,PPARGC1A
AGT,EGF
JAK2,MAPK3
AAVS1,MPO
AMBP,MARCH8
HBB,MB
IL13,TGFA
LCN2,MB
EPO,GAST
IL17A,IL6
CCL2,CXCL10
MPO,NOS2A
AKT1,EGFR
BCS1L,TIMP2
AAVS1,GYPA
MAP1LC3A,TFEB
BCL2,JAK2
CRP,IL10
IL1B,PPARGC1A
BCL2,PIK3CA
AKT1,JAK2
CASP3,TNF
CCL2,SETD2
CCL2,SIRT1
LGALS3,YOD1
HMOX1,SETD2
CCL2,HAVCR1
HMOX1,SIRT1
IL10,IL1B
BCL2,STAT3
SRC,TLR6
AAAS,UBXD1
JUP,MAPK3
CASP3,PIK3CA
AAAS,MAP1LC3A
BAX,NR5A2
PIK3CA,VEGFA
BCL2L11,PRKAA2
HMOX1,IL6
JUP,VEGFA
AKT1,BCL2
IL1B,SIRT1
HAVCR1,IL13
IL2,IL2RA
AKT1,BCL2L11
IL10,IL6
GSTA1,MAP1LC3A
IL6,SMAD2
IL10,IL8
FCER1G,KLRB1
IL18,MMP2
BCL2,FOXO3
