0,1
PSIP1,HBB
PTGS2,NFKB1
HBB,PTH
REN,GLP1R
REN,MME
REN,NR3C2
RIMS1,AVPR2
INF2,ROBO2
RORC,BAX
RORC,BCL2
RORC,BECN1
IGF2BP2,RORC
RORC,PRKAA2
TP53,RORC
ESR1,SAA
SDC1,EDN1
SH2B3,FCGR3A
SH2B3,KLRC2
KLRK1,SH2B3
SHC1,POLD3
ACSS2,SIRT1
SIRT1,FOXO1
SIRT1,SLC5A2
SIRT6,NKX2-5
SLC39A14,SLC11A2
SLC11A2,SLC39A8
SLC11A2,SLC40A1
SLC22A6,SLC22A8
SLC22A6,SLC26A6
SLC22A6,SLC45A2
SLC22A6,SULT1A1
SLC22A8,SLC26A6
SLC22A8,SLC45A2
SLC39A14,SLC39A8
SLC39A14,SLC40A1
SLC39A8,SLC40A1
SLC26A6,SLC45A2
SLC5A2,HIF1A
SLC5A2,NR3C2
SMAD3,SMAD4
IL1A,SOD1
IL1B,SOD1
IL6,SOD1
TNF,SOD1
SOD3,SOD1
SOST,FGF23
SOST,KL
SREBF2,ACACA
SREBF2,FASN
NLRP3,SREBF2
SREBF2,SCAP
FGF23,ST2
GDF15,ST2
KL,ST2
LGALS3,ST2
ALB,STAG2
IL6,STAG2
REN,STN
STUB1,HSPA8
SLC22A8,SULT1A1
SLC26A6,SULT1A1
SLC45A2,SULT1A1
HBB,TF
REN,TGFA
TGFA,TNF
IL1B,TNF
MAFK,TNF
NFE2L2,TNF
NFKB1,TNF
PTGS2,TNF
TNFRSF21,CCL2
TNFRSF21,FAS
IL1B,TNFRSF21
IL7,TNFRSF21
PI3,TNFRSF21
PIK3CG,TNFRSF21
PIK3R1,TNFRSF21
TNFRSF21,TNFRSF8
FAS,TNFRSF8
IL1B,TNFRSF8
PIK3R1,TNFRSF8
CCL2,TNFRSF9
CD27,TNFRSF9
FAS,TNFRSF9
IL1B,TNFRSF9
IL7,TNFRSF9
PI3,TNFRSF9
PIK3CG,TNFRSF9
PIK3R1,TNFRSF9
TNFRSF21,TNFRSF9
TNFRSF8,TNFRSF9
IL6,TNNT2
TP53,BECN1
TP53,IGF2BP2
TP53,PRKAA2
KIF2A,TRIM39
TSC2,CCL26
TSC2,TSC1
SLC5A2,UGT1A9
AGT,USP1
EP300,USP7
VEGFA,ACE
VIM,ACTC1
COL1A1,VIM
ITK,VIM
YAP1,WWTR1
YES1,WWTR1
YES1,YAP1
YY1AP1,TAZ
ZIC3,ZIC1
