0,1
KLHL22,NFE2L2
MAFK,NFE2L2
NFKB1,NFE2L2
PIK3CA,NFE2L2
PTGS2,NFE2L2
SOD1,NFE2L2
MAFK,NFKB1
PROC,NLGN4X
SCAP,NLRP3
ABCG5,NPC1L1
NPC1L1,ABCG8
NPHS1,BECN1
NPHS1,FOXO1
SIRT1,NPHS1
NPHS2,BECN1
NPHS2,FOXO1
NPHS2,MAP1LC3A
NPHS2,NPHS1
NPHS2,SIRT1
OPRK1,OPRM1
TRIM39,PARK2
PAX2,ACTN4
PAX2,COL4A5
FASN,PCSK9
PCSK9,LDLR
SREBF2,PCSK9
SPP1,PDGFB
PFKP,AAVS1
PFKL,PFKP
SMAD3,PFKP
SMAD4,PFKP
PI3,CCL2
FAS,PI3
PI3,IL1B
PI3,PIK3CG
PI3,PIK3R1
PI3,TNFRSF8
PIK3CA,RORC
CCL2,PIK3CG
FAS,PIK3CG
IL1B,PIK3CG
PIK3R1,PIK3CG
TNFRSF8,PIK3CG
PIK3R1,IL1B
PKD1,PKD2
PLG,COL1A1
PLG,COL23A1
PLG,ENPP6
PLG,NLGN4X
PLG,PROC
PLG,TGFA
PLG,TGFB2
PNPLA3,SLC5A2
PNPLA3,UGT1A9
AKT1,PRKAA2
PIK3CA,PRKAA2
SIRT1,PRKAA2
PIK3CA,PRKCA
PSIP1,DCTN5
PSIP1,HBB
MAFK,PTGS2
PTGS2,NFKB1
HBB,PTH
REN,ACE
REN,GLP1R
REN,INS
REN,MME
REN,NR3C2
AVPR2,RIMS1
INF2,ROBO2
AKT1,RORC
BAX,RORC
BCL2,RORC
BECN1,RORC
IGF2BP2,RORC
PRKAA2,RORC
TP53,RORC
SAA,ESR1
IL6,SAA
SDC1,EDN1
SH2B3,FCGR3A
KLRC2,SH2B3
SH2B3,KLRK1
POLD3,SHC1
ACSS2,SIRT1
SIRT1,FOXO1
SIRT1,SLC5A2
SIRT6,NKX2-5
SLC39A14,SLC11A2
SLC39A8,SLC11A2
SLC40A1,SLC11A2
SLC22A6,SLC22A8
SLC22A6,SLC26A6
SLC22A6,SLC45A2
SLC22A6,SULT1A1
SLC26A6,SLC22A8
SLC22A8,SLC45A2
SLC39A14,SLC39A8
SLC39A14,SLC40A1
SLC39A8,SLC40A1
SLC26A6,SLC45A2
SLC5A2,HIF1A
NR3C2,SLC5A2
SMAD4,SMAD3
SOD1,IL1A
SOD1,IL1B
SOD1,IL6
SOD1,TNF
SOD1,SOD3
FGF23,SOST
KL,SOST
TIMP1,SPP1
SREBF2,ACACA
FASN,SREBF2
SREBF2,NLRP3
SREBF2,SCAP
FGF23,ST2
ST2,GDF15
ST2,KL
ST2,LGALS3
ALB,STAG2
IL6,STAG2
REN,STN
HSPA8,STUB1
SLC22A8,SULT1A1
SLC26A6,SULT1A1
SULT1A1,SLC45A2
CYP2B6,TBXAS1
TF,HBB
COL23A1,TGFA
ENPP6,TGFA
TGFA,NLGN4X
PROC,TGFA
REN,TGFA
TGFA,TGFB2
TGFA,TNF
COL23A1,TGFB2
ENPP6,TGFB2
NLGN4X,TGFB2
PROC,TGFB2
TNF,IL1B
IL6,TNF
MAFK,TNF
TNF,NFE2L2
NFKB1,TNF
PTGS2,TNF
TNFRSF21,CCL2
TNFRSF21,FAS
TNFRSF21,IL1B
TNFRSF21,IL7
TNFRSF21,PI3
TNFRSF21,PIK3CG
TNFRSF21,PIK3R1
TNFRSF21,TNFRSF8
FAS,TNFRSF8
TNFRSF8,IL1B
TNFRSF8,PIK3R1
TNFRSF9,CCL2
CD27,TNFRSF9
FAS,TNFRSF9
TNFRSF9,IL1B
IL7,TNFRSF9
PI3,TNFRSF9
TNFRSF9,PIK3CG
PIK3R1,TNFRSF9
TNFRSF21,TNFRSF9
TNFRSF8,TNFRSF9
TNNT2,IL6
TP53,BECN1
TP53,IGF2BP2
TP53,PRKAA2
KIF2A,TRIM39
TSC2,CCL26
TSC1,TSC2
UGT1A9,SLC5A2
USP1,AGT
USP7,EP300
ACE,VEGFA
VIM,ACTC1
COL1A1,VIM
VIM,ITK
WWTR1,YAP1
WWTR1,YES1
YES1,YAP1
YY1AP1,TAZ
ZIC1,ZIC3
