NFKB1,PTGS2
BECN1,TP53
LAMC2,NEFL
NLRP3,SREBF2
ALB,CST3
CFHR1,CFHR5
NLRP3,SCAP
KIF2A,TRIM39
MYH14,MYH7
PNPLA3,UGT1A9
IL6,IL6R
SLC22A8,SLC26A6
DCTN5,PSIP1
HBB,PTH
ZIC1,ZIC3
COL4A5,PAX2
PTGS2,TNF
CAT,IL1B
IBSP,KL
MYH7,MYOG
MAP1LC3A,NPHS1
YAP1,YES1
CCL2,PIK3R1
SLC39A14,SLC40A1
NPHS2,SIRT1
HMGCS1,SREBF2
FCGR3A,KLRC2
ABCG5,ABCG8
IL1B,VWS
FOXO1,NPHS1
IL1B,TNF
PIK3CA,PRKCA
IHPK2,IHPK3
CXCR7,JUP
CCL2,TNFRSF21
GCG,SLC5A2
IBSP,SOST
IL1A,TNF
FAS,IL1B
CYP2E1,SLC26A6
SLC22A6,SLC22A8
ACACA,FASN
TNFRSF21,TNFRSF9
CCL2,TNFRSF9
ABCA1,MIRN223
CCL2,FAS
COL1A1,COL4A4
GLA,MGP
CCL2,IL7
ESR1,SAA
GIP,GIPR
KLHL22,MAFK
CD27,TNFRSF9
KEAP1,SOD1
IL1B,TNFRSF9
BAX,IGF2BP2
CST3,EGFR
BECN1,NPHS1
APLP2,NEFL
NFE2L2,SOD1
KLRK1,SH2B3
CD27,IL7
AVP,CRHR1
IL1B,IL7
IGF1,KL
IL7,PIK3R1
EPO,HBB
PIK3CG,TNFRSF8
NPHS1,NPHS2
PDGFB,SPP1
ADIPOQ,MMP2
BAX,RORC
SLC22A8,SLC45A2
ACTN4,PAX2
CFH,CFHR1
MME,REN
CCL26,TSC1
PKD1,PKD2
FASN,SREBF2
AGTR1,EGFR
PRKAA2,RORC
WWTR1,YAP1
MLXIPL,SIRT1
BAX,BECN1
MYH14,MYOG
IGF2BP2,RORC
CYP2B6,SLC45A2
IL6,TGFA
CCL2,PI3
SLC22A8,SULT1A1
SLC11A2,SLC39A14
INF2,ROBO2
PARK2,TRIM39
CCL2,PIK3CG
FCGR3A,KLRK1
HSPA8,STUB1
SLC5A2,UGT1A9
PI3,TNFRSF8
IHPK1,IHPK2
ALB,CRP
ERAL1,KL
SLC22A6,SLC26A6
KEAP1,NFE2L2
CASP1,SOD1
CACNA1A,EGFR
EPO,PTH
IL6,TNNT2
BAX,ZIC3
CAMP,LCN2
COL1AR,JUP
SMAD3,SMAD4
BCL2,IGF2BP2
FAS,PIK3R1
