0,1
IL6,CXCL10
IL6,IL10
IL6,LCN2
IL6,PRKAA2
IL6,SMAD2
IL6,TNF
IL6,VEGFA
IL6,IL8
INS,GAST
INS,REN
INS,THPO
JAK2,CCL2
IL6,JAK2
PRKAA2,JAK2
JAK2,SMAD2
JAK2,VEGFA
BCL2L11,JUP
JUP,CCL2
JUP,HAVCR1
HMOX1,JUP
JUP,IL1B
IL6,JUP
JAK2,JUP
PIK3CA,JUP
PRKAA2,JUP
SETD2,JUP
SIRT1,JUP
SMAD2,JUP
STAT3,JUP
JUP,VEGFA
KCNQ5,CD8A
KCNQ5,FCER1G
KEAP1,SIRT1
KIF2A,UBL4A
HDAC3,KLF5
KLRB1,CD4
KLRB1,CD8A
KLRB1,FCER1G
KLRB1,KCNQ5
AAAS,LAMP1
LAMP1,GSTA1
HMBS,LAMP1
LGALS3,LAMP1
LAMP1,PLAA
LAMP1,PTP4A2
LAMP1,RPS27A
YOD1,LAMP1
LCN2,ALB
BCS1L,LCN2
CST3,LCN2
HMOX1,LCN2
IGFBP7,LCN2
IL18,LCN2
LCN2,IL1B
RBP4,LCN2
TIMP2,LCN2
LGALS3,AAAS
LGALS3,GSTA1
MAFK,CASP1
MAFK,NFE2L2
NOS2A,MAFK
MAP1LC3A,AAAS
MAP1LC3A,GSTA1
HMBS,MAP1LC3A
MAP1LC3A,LAMP1
LGALS3,MAP1LC3A
MAP1LC3A,PLAA
MAP1LC3A,PTP4A2
MAP1LC3A,RPS27A
YOD1,MAP1LC3A
AKT1,MAPK1
EGFR,MAPK1
HMOX1,MAPK1
IAPP,MAPK1
MAPK15,CXCL5
MAPK3,AKT1
MAPK3,BCL2
MAPK3,BCL2L11
MAPK3,CCL2
MAPK3,HMOX1
MAPK3,IL1B
MAPK3,IL6
MAPK3,JAK2
MAPK3,JUP
MAPK3,MAPK6
MAPK3,NFE2L2
MAPK3,PIK3CA
MAPK3,PPARGC1A
MAPK3,PRKAA2
MAPK3,SETD2
MAPK3,SIRT1
MAPK3,SMAD2
MAPK3,VEGFA
MARCH8,AMBP
MARCH8,DNMT1
KIF2A,MARCH8
MIRN148B,MARCH8
UBL4A,MARCH8
MB,ALB
MB,CKB
MB,LCN2
MB,STN
SOD2,MBTPS1
MIRN122,ELAVL1
MIRN148B,KL
MIRN1238,MIRN21
MKI67,HAVCR1
MKI67,JUP
ALB,MMP2
CKB,MMP2
HAVCR1,MMP2
HMGB1,MMP2
LCN2,MMP2
MB,MMP2
PI3,MMP2
MMRN1,AKT1
MMRN1,BCL2
MMRN1,BCL2L11
MMRN1,CCL2
MMRN1,HMOX1
MMRN1,IL1B
IL6,MMRN1
MMRN1,JAK2
MMRN1,JUP
MAPK3,MMRN1
MMRN1,NFE2L2
PIK3CA,MMRN1
MMRN1,PPARGC1A
MMRN1,PRKAA2
SETD2,MMRN1
SIRT1,MMRN1
MMRN1,SMAD2
MMRN1,STAT3
MMRN1,VEGFA
GYPA,MPO
MPO,IL1B
