AKI_genes
A2M
ACE
ACE2
ACSL4
ADA
ADAMTS13
AGT
AGTR1
AKT1
AKT3
ALAS1
ALB
ALPI
ALPP
AQP1
ATF6
ATG16L1
ATN1
AVP
B2M
BAX
BBC3
BCL2
BCL2L1
BCR
BCS1L
BECN1
BNIP3
CAMK4
CASP1
CASP2
CASP3
CASP5
CASP6
CASP9
CAT
CCL2
CCL3
CCL4
CCL5
CCL7
CD274
CD40
CD47
CD59
CD80
CD8A
CDA
CDC42
CDK4
CDKN2A
CFH
CFHR1
CHMP2A
CKB
CLU
COL1A1
COL1AR
COL4A2
COL4A4
COX8A
CPA6
CRP
CSF1
CSF3
CST3
CTLA4
CXCL2
CXCR4
CYBB
CYP3A5
DDIT3
DDR1
DGKE
DPP4
EDN1
EDNRB
EGF
EGFR
ELAVL1
ENG
F2
F2R
FABP1
FAS
FCGR3A
FGF2
FGR
FOS
FOXO3
FXYD4
G6PD
GABPA
GAST
GGT1
GLS2
GP6
GPR109A
GPR77
GPT
GRB2
HAVCR1
HBB
HBEGF
HDAC3
HDAC9
HDGF
HEXA
HGF
HIF1A
HK2
HMG1L5
HMGB1
HMOX1
HPX
HSPA1A
HSPA5
HTR2B
HTRA3
ICAM1
IFNA1
IFNG
IGF1
IGF2
IGFALS
IGFBP1
IGFBP7
IL10
IL12A
IL17D
IL18
IL1A
IL1B
IL1R1
IL1RAPL2
IL2
IL22
IL22RA1
IL22RA2
IL2RA
IL4
IL6
IL8
INS
IRF6
ITGAL
ITK
JAK2
JUN
JUP
KEAP1
KIAA1737
KL
KLF4
KRR1
LCN2
LCT
LGMN
LILRB1
LPAL2
LPL
MAFK
MAOA
MAP1LC3A
MAP3K7IP3
MAPK1
MAPK14
MAPK8
MAPK9
MARCH8
MARK2
MB
MBD2
MBOAT5
MET
METTL3
MIRN122
MIRN130A
MIRN150
MIRN199B
MIRN21
MIRN212
MIRN214
MIRN22
MIRN93
MKI67
MLKL
MLXIP
MME
MMP10
MMP2
MMP9
MPO
MYC
MYD88
MYLIP
NAGLU
NAIP
NCAM1
NFE2L2
NFKB1
NGFR
NLRP3
NOS1
NOS2A
NOS3
NOX4
NPHS2
NPM1
NPPA
NPPB
NQO1
NR3C2
NR5A2
NRP1
NUDT6
ODC1
ORM2
OTUD5
PARK2
PARP1
PCNA
PCSK9
PDGFA
PDGFB
PDGFRA
PDGFRB
PIK3CA
PIK3R1
PINK1
PLAT
PLAU
POU2F2
PPARGC1A
PPBP
PPID
PRKAA1
PRKAA2
PRKDC
PTEN
PTGS2
PTH
PTP4A2
PYCARD
RAB10
REN
RIPK3
RORC
ROS1
RRAGA
SAA
SCARB1
SCARB2
SCGB1A1
SDHB
SERPINA1
SERPINC1
SERPINF2
SETD2
SF3B3
SFTPA1
SGK1
SIRT1
SIRT3
SIRT4
SLC17A1
SLC22A12
SLC22A6
SLC22A8
SLC37A4
SLC47A1
SLC7A1
SLC7A11
SLCO2B1
SMAD3
SMARCB1
SMOX
SOD1
SOD2
SPP1
STAT3
SYK
TBXAS1
TCF7
TF
TFDP2
TFF3
TGFA
TGFB1
THBS1
TIMP1
TIMP2
TIPARP
TLR2
TLR4
TMPRSS2
TNF
TNFRSF1A
TNFSF8
TNNI3
TOX4
TP53
TPH1
TTR
VCAM1
VEGFA
VWS
XBP1
YAP1
ZEB1
GPX4
ABP1
VWF
SAR1A
MAPK3
SRPK1
BACH1
ACPP
LAP3
AQP2
AIFM2
ATG7
CASP8
CYCS
PGAM5
GJB1
HCG18
ALDH2
BNIP3L
MUC1
DDX58
GSDM1
PANX1
GSR
NPHS1
CRYGEP1
PDCD1
SIRPA
MUC5B
CD4
RHOA
PAX2
CDKN1A
EPO
CD46
CFHR3
TNNT2
CSTB
VIM
ACTC1
PDXP
UROD
CSF2
CD34
SFTPB
CYP2B6
SLC5A2
ECE1
EDN3
EDNRA
AKR1B1
FBXL20
LRP2
FASLG
CD14
PDCD4
KCNJ1
JAG1
GLS
CLEC1B
FFAR3
C5AR1
HP
EGLN1
MDM4
PER2
GTF2A1
S100A16
DDC
MIRN494
ITGB2
SELL
IFNA2
DEGS1
GHR
IGF1R
IL17A
IL9
AHR
TNFSF14
NOX1
SERPINE1
FGF23
POMC
MIRN221
ITGAM
FABP4
GTF3A
CTNNB1
AIM2
GDF15
ERRFI1
RIPK1
CXCL10
RBP4
MCAT
PPARA
APOA1
LIPC
IGF2BP2
MAPK6
PDGFC
AHSA1
APOL1
GAS5
HIPK1
MIRN146A
THBS2
EGR1
H19
RUNX1
MFN2
CXCL12
TXNIP
PRTN3
HAT1
GSTCD
ETS1
TOLLIP
OAT
MSTN
SLC22A2
PPIF
FIS1
PTGS1
PRL
PTHLH
VCP
TFEB
ALK
APLP2
MDH2
CLEC4E
MBTPS1
FOXM1
SLC17A3
SLC2A9
SLCO1A2
SAT1
FOSL1
CP
IL1RN
KIAA0101
TNFRSF8
RENBP
