AKI_gene_pairs
A2M_LCN2
ACE_CDKN2A
ACE_MME
ACE_TMPRSS2
ACE_ACE2
ACE2_AGT
ACE2_AGTR1
ACE2_HAVCR1
ACSL4_GPX4
ACSL4_PTGS2
ABP1_ADA
ADAMTS13_VWF
ACE_AGT
AGT_CD59
AGT_CST3
AGT_EDN1
AGT_NOS2A
AGT_NPPA
AGT_SAR1A
AGT_TNF
ACE_AGTR1
AGT_AGTR1
AGTR1_REN
AKT1_CASP3
AKT1_GRB2
AKT1_IL6
AKT1_MAPK3
AKT1_PIK3CA
AKT3_SRPK1
ALAS1_BACH1
ALB_CKB
ALB_TF
ACPP_ALPI
ALB_ALPI
ALPI_GGT1
ALPI_LAP3
ALPI_SLC37A4
ALPI_ALPP
AQP1_AQP2
AIFM2_ATF6
ATF6_TP53
ATG16L1_ATG7
ATN1_NLRP3
AGT_AVP
AVP_NPPA
ALB_B2M
B2M_NAGLU
B2M_ORM2
BAX_BCL2
BAX_BCL2L1
BAX_CASP3
BAX_CASP8
BAX_CYCS
BAX_HMOX1
BAX_IL1B
BAX_IL6
BAX_PGAM5
BAX_PTGS2
BAX_TP53
BBC3_GJB1
BBC3_TP53
AKT1_BCL2
BCL2_CASP1
BCL2_CASP3
BCL2_CASP8
BCL2_EGF
BCL2_HCG18
BCL2_IGF1
BCL2_IL1B
BCL2_IL6
BCL2_NFE2L2
BCL2_PTEN
BCL2_SIRT1
BCL2_SOD1
BCL2_TGFB1
BCL2_BCL2L1
BCR_DDR1
BCS1L_IGFBP7
ALDH2_BECN1
BNIP3_BNIP3L
BNIP3_HIF1A
BNIP3_PINK1
CAMK4_MUC1
CASP1_CASP3
CASP1_CASP6
CASP1_DDX58
CASP1_GSDM1
CASP1_CASP2
CASP2_CASP3
CASP2_CASP6
CASP3_CASP8
CASP3_CYCS
CASP3_GSDM1
CASP3_HMGB1
CASP3_HMOX1
CASP3_IL6
CASP3_MAPK3
CASP3_MAPK8
CASP3_MMP9
CASP3_PIK3CA
CASP3_SIRT1
CASP3_STAT3
CASP3_TP53
CASP5_PANX1
CASP5_TLR2
CASP3_CASP6
BAX_CASP9
BCL2_CASP9
CASP3_CASP9
CAT_GSR
CAT_IL1B
BCR_CCL2
CCL2_CCL4
CCL2_CCL5
CCL2_CXCL2
CCL2_DDR1
CCL2_EGF
CCL2_F2
CCL2_HAVCR1
CCL2_ICAM1
CCL2_IL1B
CCL2_IL6
CCL2_LCN2
CCL2_NPHS1
CCL2_TLR2
CCL3_CCL4
CCL4_CRYGEP1
CCL3_CCL5
CCL4_CCL5
CCL2_CCL7
CD274_PDCD1
CD40_IL6
CD40_NOS2A
CD47_SIRPA
CD59_MUC5B
CD80_ICAM1
CD4_CD8A
CDA_NPPA
CDC42_RHOA
CDK4_PAX2
CDKN1A_CDKN2A
CDKN2A_EDN1
CDKN2A_EPO
CDKN2A_MB
CD46_CFH
CFH_CFHR1
CFH_CFHR3
CFHR1_CFHR3
CHMP2A_PTEN
CKB_TNNI3
CKB_TNNT2
CLU_CSTB
CLU_EGF
CLU_MMP2
CLU_PCNA
CLU_SPP1
CLU_VIM
ACTC1_COL1A1
COL1A1_TGFA
COL1A1_VIM
COL1A1_COL1AR
COL4A2_SETD2
COL1A1_COL4A4
COX8A_PTGS2
CPA6_PDXP
ALB_CRP
CRP_UROD
CSF1_CSF2
CD34_CSF3
CLU_CST3
CST3_IL18
CST3_SFTPB
CST3_SPP1
CST3_TFF3
CST3_TIMP2
CST3_TNFRSF1A
CD274_CTLA4
CTLA4_PDCD1
CXCL2_IL1B
CXCR4_TP53
CYBB_IL1B
CYP2B6_CYP3A5
DDIT3_HSPA5
DDR1_STAT3
DGKE_KL
DPP4_SLC5A2
ECE1_EDN1
EDN1_EDN3
EDN1_HGF
EDN1_REN
EDNRA_EDNRB
AKR1B1_EGF
CDKN2A_EGF
EDN1_EGF
EGF_EGFR
EGF_HGF
EGF_IGF1
EGF_IL2
EGF_INS
EGF_TGFA
EGF_TGFB1
EGFR_FBXL20
EGFR_HMOX1
EGFR_MMP10
ATG16L1_ELAVL1
ATG7_ELAVL1
ENG_TGFB1
F2_GPT
F2_SERPINC1
F2_F2R
FABP1_LRP2
FABP1_MMP2
FAS_FASLG
FAS_IFNG
FAS_TNF
CD14_FCGR3A
FGF2_TGFB1
FGR_PDCD4
FOS_HSPA1A
FOS_JUN
FOXO3_IL6
FOXO3_JUP
FXYD4_KCNJ1
ACPP_G6PD
CAT_G6PD
G6PD_SDHB
G6PD_SOD1
GABPA_XBP1
AKT1_GAST
GAST_PIK3CA
GGT1_JAG1
GGT1_SERPINF2
GLS_GLS2
CLEC1B_GP6
FFAR3_GPR109A
C5AR1_GPR77
ALB_GPT
ALPI_GPT
CKB_GPT
GRB2_IL6
AGTR1_HAVCR1
ALB_HAVCR1
CASP3_HAVCR1
CLU_HAVCR1
CST3_HAVCR1
FABP1_HAVCR1
HAVCR1_HMOX1
HAVCR1_IGFBP7
HAVCR1_IL18
HAVCR1_IL6
HAVCR1_LCN2
HAVCR1_MMP2
HAVCR1_SOD1
HAVCR1_SPP1
HAVCR1_TIMP2
ALB_HBB
CKB_HBB
EPO_HBB
F2_HBB
HBB_HP
HBB_MB
EGF_HBEGF
GPX4_HDAC3
EGLN1_HDAC9
HDGF_MDM4
ALPI_HEXA
GGT1_HEXA
HGF_TGFB1
HIF1A_HMOX1
HIF1A_PTEN
HIF1A_SETD2
HIF1A_SMAD3
HK2_MYLIP
HMG1L5_HMGB1
HMG1L5_IL6
HMGB1_IL1B
HMGB1_MB
HMGB1_TLR4
AKT1_HMOX1
BCL2_HMOX1
