CKD_gene_pairs
A2M_ADRA1D
A2M_CD79A
A2M_CP
A2M_CTSB
A2M_F2
A2M_HP
A2M_INS
A2M_LRP1
A2M_PLG
A2M_SERPINA3
A2M_SERPINC1
A2M_SERPINF2
A2M_SOD1
A2M_TF
A2M_TTR
AANAT_ARD1A
ABCA1_ABCA4
ABCA1_APOA1
ABCA4_ABCB4
ABCB1_ABCB4
ABCB1_ABCG2
ABCB1_AGT
ABCB1_AS3MT
ABCB1_CD34
ABCB1_CYP1A1
ABCB1_CYP2B6
ABCB1_CYP3A4
ABCB1_GSTCD
ABCB1_PGP
ABCB1_POU2F2
ABCB1_TLR4
ABCB1_TP53
ABCB11_ABCB4
ABCB4_CD8A
ABCB4_PGP
ABCB4_TACR1
ABCB4_TP53
ABCB8_GFER
ABCB1_ABCC1
ABCC1_ABCC2
ABCC1_ABCG2
ABCC1_AS3MT
ABCC1_CD9
ABCC1_HDAC2
ABCC1_HMOX1
ABCC1_MAPK8
ABCC1_NFE2L2
ABCC1_PTPRA
ABCB1_ABCC2
ABCC2_ABCC3
ABCC2_ABCG2
ABCC2_SLC26A3
ABCB1_ABCC3
ABCC1_ABCC3
ABCC3_CD9
ABCA1_ABCG1
ABCG2_CYP2B6
ABCG2_SLC22A12
ABL1_BCL2L1
ABL1_CD19
ABL1_CRK
ABL1_EPO
ABL1_EPOR
ABL1_ETV6
ABL1_EVI1
ABL1_FAS
ABL1_GOLGA4
ABL1_GRB2
ABL1_HCK
ABL1_HRAS
ABL1_IFNG
ABL1_IL2
ABL1_ITGAM
ABL1_ITGB2
ABL1_JAK2
ABL1_JUN
ABL1_KIT
ABL1_MIRN203
ABL1_MLL
ABL1_MYB
ABL1_MYC
ABL1_NRAS
ABL1_PIK3CA
ABL1_PTPN11
ABL1_PXN
ABL1_RARA
ABL1_RUNX1
ABL1_SHC1
ABL1_TBCC
ABL1_TTLL5
ABL1_ABL2
ABL2_ETV6
ABL2_MET
ABO_HLA-A
ABO_HP
ABO_RHOD
ABO_ST8
ABP1_SOD1
ABR_BCR
ABR_RASA1
ABR_RHOD
ACACA_ACOX1
ACACA_AKT1
ACACA_BCL2A1
ACACA_CD36
ACACA_CPT1A
ACACA_DGAT1
ACACA_LEP
ACACA_LIPC
ACACA_MCC
ACACA_PIK3CA
ACACA_PRKAA2
ACACA_SREBF1
ACADM_PPARA
ACAN_COL1A1
ACAN_IL1B
ACAN_MMP13
ACAN_MMP3
ACAN_TIMP1
ACCN2_LMNB1
ACCN2_SLC12A2
ACCS_ERCC8
ACD_EPO
ACD_IDUA
ACE_ALB
ACE_ALPI
ACE_ANG
ACE_AVP
ACE_B2M
ACE_BSG
ACE_CPN1
ACE_EDN1
ACE_HBB
ACE_IDDM2
ACE_IL2
ACE_INS
ACE_KNG1
ACE_MME
ACE_NAGLU
ACE_NOS1
ACE_NR3C2
ACE_PKN1
ACE_PRL
ACE_PTGS2
ACE_SCN10A
ACE_SERPINE1
ACE_SLC5A2
ACE_SPINK1
ACE_TAC1
ACE_TGFB1
ACE_ACE2
ACE2_ADAM17
ACE2_AGT
ACE2_ANG
ACE2_BSG
ACE2_DDC
ACE2_EEA1
ACE2_ELAVL1
ACE2_FURIN
ACE2_HAVCR1
ACE2_IL6
ACE2_MRGPRE
ACE2_REN
ACE2_TMPRSS2
