CKD_genes
A2M
AANAT
ABCA1
ABCA4
ABCB1
ABCB11
ABCB4
ABCB8
ABCC1
ABCC2
ABCC3
ABCG1
ABCG2
ABL1
ABL2
ABO
ABP1
ABR
ACACA
ACADM
ACAN
ACCN2
ACCS
ACD
ACE
ACE2
ACHE
ACLY
ACO1
ACOT1
ACOT7
ACOX1
ACP5
ACPP
ACR
ACSL4
ACTA1
ACTA2
ACTB
ACTC1
ACTN4
ADA
ADAM10
ADAM17
ADAM8
ADAMTS5
ADAR
ADC
ADCY1
ADCY10
ADCY2
ADCY7
ADCYAP1
ADCYAP1R1
ADD2
ADH1A
ADH1B
ADH1C
ADH4
ADH5
ADH7
ADIPOQ
ADIPOR2
ADK
ADM
ADORA2A
ADORA2B
ADRA1A
ADRA1D
ADRA2C
ADRB2
ADRB3
ADRBK1
ADSL
AFP
AGRP
AGT
AGTR1
AGTR2
AGXT
AHCY
AHI1
AHR
AHRR
AHSA1
AHSG
AIC
AICDA
AIED
AIF1
AIFM1
AIM2
AIRE
AKAP12
AKR1A1
AKR1B1
AKT1
AKT2
AKT3
ALAD
ALB
ALDH1A1
ALDH2
ALDH7A1
ALDH9A1
ALDOB
ALK
ALLC
ALOX5
ALPI
ALPP
ALS2
AMDP1
AMELX
AMELY
AMH
AMMECR1
AMN
ANG
ANGPT1
ANGPT2
ANGPTL2
ANGPTL3
ANGPTL4
ANK1
ANKRA2
ANKRD55
ANP32B
ANPEP
ANXA1
ANXA2
AOAH
AOC3
APAF1
APCS
APLP2
APOA1
APOA2
APOB
APOBEC1
APOBEC3B
APOC1
APOC3
APOE
APOL1
APOM
APP
APPBP2
APRT
AQP1
AQP2
AQP3
AQP4
AR
ARC
ARD1A
AREG
ARF1
ARFRP1
ARG1
ARHGEF1
ARHGEF2
ARID1A
ARID4A
ARIH1
ARL4C
ARNT
ARNTL
ARSH
AS3MT
ASPA
ASPM
ASPRV1
ASPSCR1
ASXL1
ATD
ATF1
ATF2
ATF3
ATF4
ATF6
ATG12
ATG16L2
ATG3
ATG5
ATG7
ATHS
ATM
ATP2A1
ATP2A2
ATP2A3
ATP8B1
ATR
AURKA
